Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
EMFSolutionXtend;Q1;1;1;3;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;4;Update;Time;24178295
EMFSolutionXtend;Q1;1;1;4;Update;Memory;10888912
EMFSolutionXtend;Q1;1;1;4;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;5;Update;Time;11315528
EMFSolutionXtend;Q1;1;1;5;Update;Memory;10893768
EMFSolutionXtend;Q1;1;1;5;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;6;Update;Time;16494666
EMFSolutionXtend;Q1;1;1;6;Update;Memory;10899072
EMFSolutionXtend;Q1;1;1;6;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;7;Update;Time;14288847
EMFSolutionXtend;Q1;1;1;7;Update;Memory;10903088
EMFSolutionXtend;Q1;1;1;7;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;8;Update;Time;20223530
EMFSolutionXtend;Q1;1;1;8;Update;Memory;10910488
EMFSolutionXtend;Q1;1;1;8;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;9;Update;Time;11169259
EMFSolutionXtend;Q1;1;1;9;Update;Memory;10913888
EMFSolutionXtend;Q1;1;1;9;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;10;Update;Time;16030491
EMFSolutionXtend;Q1;1;1;10;Update;Memory;10921784
EMFSolutionXtend;Q1;1;1;10;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;11;Update;Time;9675180
EMFSolutionXtend;Q1;1;1;11;Update;Memory;10930944
EMFSolutionXtend;Q1;1;1;11;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;12;Update;Time;11721746
EMFSolutionXtend;Q1;1;1;12;Update;Memory;10935120
EMFSolutionXtend;Q1;1;1;12;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;13;Update;Time;15256709
EMFSolutionXtend;Q1;1;1;13;Update;Memory;10937568
EMFSolutionXtend;Q1;1;1;13;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;14;Update;Time;12503696
EMFSolutionXtend;Q1;1;1;14;Update;Memory;10943984
EMFSolutionXtend;Q1;1;1;14;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;15;Update;Time;7716985
EMFSolutionXtend;Q1;1;1;15;Update;Memory;10958712
EMFSolutionXtend;Q1;1;1;15;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;16;Update;Time;7926346
EMFSolutionXtend;Q1;1;1;16;Update;Memory;10960264
EMFSolutionXtend;Q1;1;1;16;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;17;Update;Time;6807891
EMFSolutionXtend;Q1;1;1;17;Update;Memory;10966448
EMFSolutionXtend;Q1;1;1;17;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;18;Update;Time;7021675
EMFSolutionXtend;Q1;1;1;18;Update;Memory;10974824
EMFSolutionXtend;Q1;1;1;18;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;19;Update;Time;13027423
EMFSolutionXtend;Q1;1;1;19;Update;Memory;10980488
EMFSolutionXtend;Q1;1;1;19;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;20;Update;Time;11425420
EMFSolutionXtend;Q1;1;1;20;Update;Memory;10981344
EMFSolutionXtend;Q1;1;1;20;Update;Elements;404236|167197|404315
