Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Neo4jSolution;Q1;1;2;0;Load;Time;9892328789
Neo4jSolution;Q1;1;2;0;Initial;Time;2717755845
Neo4jSolution;Q1;1;2;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;1;Update;Time;58499730
Neo4jSolution;Q1;1;2;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;2;Update;Time;19238112
Neo4jSolution;Q1;1;2;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;3;Update;Time;14477358
Neo4jSolution;Q1;1;2;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;4;Update;Time;17596594
Neo4jSolution;Q1;1;2;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;5;Update;Time;14846077
Neo4jSolution;Q1;1;2;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;6;Update;Time;16289018
Neo4jSolution;Q1;1;2;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;7;Update;Time;14541504
Neo4jSolution;Q1;1;2;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;8;Update;Time;19850983
Neo4jSolution;Q1;1;2;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;9;Update;Time;13944491
Neo4jSolution;Q1;1;2;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;10;Update;Time;21484481
Neo4jSolution;Q1;1;2;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;11;Update;Time;13457141
Neo4jSolution;Q1;1;2;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;12;Update;Time;11735156
Neo4jSolution;Q1;1;2;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;13;Update;Time;10435923
Neo4jSolution;Q1;1;2;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;14;Update;Time;18543189
Neo4jSolution;Q1;1;2;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;15;Update;Time;10779253
Neo4jSolution;Q1;1;2;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;16;Update;Time;8376961
Neo4jSolution;Q1;1;2;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;17;Update;Time;12046973
Neo4jSolution;Q1;1;2;17;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;18;Update;Time;15824227
Neo4jSolution;Q1;1;2;18;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;19;Update;Time;13780949
Neo4jSolution;Q1;1;2;19;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;20;Update;Time;9327507
Neo4jSolution;Q1;1;2;20;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;2;0;0;Load;Time;9895960412
Neo4jSolution;Q1;2;0;0;Initial;Time;2690727005
Neo4jSolution;Q1;2;0;0;Initial;Elements;167197|723178|404286
Neo4jSolution;Q1;2;0;1;Update;Time;64230648
Neo4jSolution;Q1;2;0;1;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;0;2;Update;Time;29361641
Neo4jSolution;Q1;2;0;2;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;0;3;Update;Time;9634422
Neo4jSolution;Q1;2;0;3;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;0;4;Update;Time;15649989
Neo4jSolution;Q1;2;0;4;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;5;Update;Time;26404386
Neo4jSolution;Q1;2;0;5;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;6;Update;Time;20540853
Neo4jSolution;Q1;2;0;6;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;7;Update;Time;16656977
Neo4jSolution;Q1;2;0;7;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;8;Update;Time;12840002
Neo4jSolution;Q1;2;0;8;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;9;Update;Time;5085915
Neo4jSolution;Q1;2;0;9;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;10;Update;Time;16975607
Neo4jSolution;Q1;2;0;10;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;0;11;Update;Time;13606048
Neo4jSolution;Q1;2;0;11;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;12;Update;Time;15074751
Neo4jSolution;Q1;2;0;12;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;13;Update;Time;9818586
Neo4jSolution;Q1;2;0;13;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;14;Update;Time;5653641
Neo4jSolution;Q1;2;0;14;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;15;Update;Time;9075626
Neo4jSolution;Q1;2;0;15;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;16;Update;Time;14122101
Neo4jSolution;Q1;2;0;16;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;17;Update;Time;16750707
Neo4jSolution;Q1;2;0;17;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;18;Update;Time;16382363
Neo4jSolution;Q1;2;0;18;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;19;Update;Time;10896265
Neo4jSolution;Q1;2;0;19;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;0;20;Update;Time;3761801
Neo4jSolution;Q1;2;0;20;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;0;Load;Time;9921548957
Neo4jSolution;Q1;2;1;0;Initial;Time;2748743897
Neo4jSolution;Q1;2;1;0;Initial;Elements;167197|723178|404286
Neo4jSolution;Q1;2;1;1;Update;Time;66096922
Neo4jSolution;Q1;2;1;1;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;1;2;Update;Time;32198380
Neo4jSolution;Q1;2;1;2;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;1;3;Update;Time;10284965
Neo4jSolution;Q1;2;1;3;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;1;4;Update;Time;16173057
Neo4jSolution;Q1;2;1;4;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;5;Update;Time;27894271
Neo4jSolution;Q1;2;1;5;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;6;Update;Time;23291365
Neo4jSolution;Q1;2;1;6;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;7;Update;Time;18836826
Neo4jSolution;Q1;2;1;7;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;8;Update;Time;14140297
Neo4jSolution;Q1;2;1;8;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;9;Update;Time;6133963
Neo4jSolution;Q1;2;1;9;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;10;Update;Time;17910086
Neo4jSolution;Q1;2;1;10;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;1;11;Update;Time;15149037
Neo4jSolution;Q1;2;1;11;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;12;Update;Time;17555319
Neo4jSolution;Q1;2;1;12;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;13;Update;Time;10490936
Neo4jSolution;Q1;2;1;13;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;14;Update;Time;5389071
Neo4jSolution;Q1;2;1;14;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;15;Update;Time;7728613
Neo4jSolution;Q1;2;1;15;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;16;Update;Time;14396804
Neo4jSolution;Q1;2;1;16;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;17;Update;Time;16484949
Neo4jSolution;Q1;2;1;17;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;18;Update;Time;15844383
Neo4jSolution;Q1;2;1;18;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;19;Update;Time;11314747
Neo4jSolution;Q1;2;1;19;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;1;20;Update;Time;3744647
Neo4jSolution;Q1;2;1;20;Update;Elements;167197|404236|723178
Neo4jSolution;Q1;2;2;0;Load;Time;9765939851
Neo4jSolution;Q1;2;2;0;Initial;Time;2867202090
Neo4jSolution;Q1;2;2;0;Initial;Elements;167197|723178|404286
Neo4jSolution;Q1;2;2;1;Update;Time;70229592
Neo4jSolution;Q1;2;2;1;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;2;2;Update;Time;31671518
Neo4jSolution;Q1;2;2;2;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;2;3;Update;Time;9514728
Neo4jSolution;Q1;2;2;3;Update;Elements;167197|723178|404286
Neo4jSolution;Q1;2;2;4;Update;Time;17558022
Neo4jSolution;Q1;2;2;4;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;2;5;Update;Time;30118478
Neo4jSolution;Q1;2;2;5;Update;Elements;404236|167197|723178
Neo4jSolution;Q1;2;2;6;Update;Time;23176163
