Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
SQLSolution;Q1;1;2;1;Update;Time;22061157
SQLSolution;Q1;1;2;1;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;2;Update;Time;14721113
SQLSolution;Q1;1;2;2;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;3;Update;Time;11740626
SQLSolution;Q1;1;2;3;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;4;Update;Time;12040388
SQLSolution;Q1;1;2;4;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;5;Update;Time;11121738
SQLSolution;Q1;1;2;5;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;6;Update;Time;11780074
SQLSolution;Q1;1;2;6;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;7;Update;Time;8262650
SQLSolution;Q1;1;2;7;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;8;Update;Time;11685521
SQLSolution;Q1;1;2;8;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;9;Update;Time;8355213
SQLSolution;Q1;1;2;9;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;10;Update;Time;7917574
SQLSolution;Q1;1;2;10;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;11;Update;Time;8199761
SQLSolution;Q1;1;2;11;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;12;Update;Time;7461081
SQLSolution;Q1;1;2;12;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;2;13;Update;Time;7504373
SQLSolution;Q1;1;2;13;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;14;Update;Time;12132325
SQLSolution;Q1;1;2;14;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;15;Update;Time;7061868
SQLSolution;Q1;1;2;15;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;16;Update;Time;6650476
SQLSolution;Q1;1;2;16;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;17;Update;Time;8998504
SQLSolution;Q1;1;2;17;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;18;Update;Time;7885722
SQLSolution;Q1;1;2;18;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;19;Update;Time;10514347
SQLSolution;Q1;1;2;19;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;2;20;Update;Time;6849400
SQLSolution;Q1;1;2;20;Update;Elements;404236|167197|404315
SQLSolution;Q1;2;0;0;Initialization;Time;1160923488
SQLSolution;Q1;2;0;0;Load;Time;395683839
SQLSolution;Q1;2;0;0;Initial;Time;19602332
