Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Naiad-1-Thread;Q2;1;0;0;Load;Memory;35565568
Naiad-1-Thread;Q2;1;0;0;Initial;Time;731815400
Naiad-1-Thread;Q2;1;0;0;Initial;Memory;59215872
Naiad-1-Thread;Q2;1;0;0;Initial;Elements;725662|406944|1378985
Naiad-1-Thread;Q2;1;0;1;Update;Time;4864200
Naiad-1-Thread;Q2;1;0;1;Update;Memory;59310080
Naiad-1-Thread;Q2;1;0;1;Update;Elements;725662|406944|406460
Naiad-1-Thread;Q2;1;0;2;Update;Time;1441600
Naiad-1-Thread;Q2;1;0;2;Update;Memory;59318272
Naiad-1-Thread;Q2;1;0;2;Update;Elements;725662|406944|407007
Naiad-1-Thread;Q2;1;0;3;Update;Time;2195100
Naiad-1-Thread;Q2;1;0;3;Update;Memory;59318272
Naiad-1-Thread;Q2;1;0;3;Update;Elements;725662|406944|215491
Naiad-1-Thread;Q2;1;0;4;Update;Time;623600
Naiad-1-Thread;Q2;1;0;4;Update;Memory;59318272
Naiad-1-Thread;Q2;1;0;4;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;5;Update;Time;674100
Naiad-1-Thread;Q2;1;0;5;Update;Memory;59322368
Naiad-1-Thread;Q2;1;0;5;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;6;Update;Time;16174300
Naiad-1-Thread;Q2;1;0;6;Update;Memory;59383808
Naiad-1-Thread;Q2;1;0;6;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;7;Update;Time;684000
Naiad-1-Thread;Q2;1;0;7;Update;Memory;59383808
Naiad-1-Thread;Q2;1;0;7;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;8;Update;Time;556700
Naiad-1-Thread;Q2;1;0;8;Update;Memory;59387904
Naiad-1-Thread;Q2;1;0;8;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;9;Update;Time;734200
Naiad-1-Thread;Q2;1;0;9;Update;Memory;59392000
Naiad-1-Thread;Q2;1;0;9;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;10;Update;Time;1232700
Naiad-1-Thread;Q2;1;0;10;Update;Memory;59396096
Naiad-1-Thread;Q2;1;0;10;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;11;Update;Time;974400
Naiad-1-Thread;Q2;1;0;11;Update;Memory;59396096
Naiad-1-Thread;Q2;1;0;11;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;12;Update;Time;1254700
Naiad-1-Thread;Q2;1;0;12;Update;Memory;60190720
Naiad-1-Thread;Q2;1;0;12;Update;Elements;725662|406944|999991
Naiad-1-Thread;Q2;1;0;13;Update;Time;1020500
Naiad-1-Thread;Q2;1;0;13;Update;Memory;60190720
Naiad-1-Thread;Q2;1;0;13;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;14;Update;Time;27447900
Naiad-1-Thread;Q2;1;0;14;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;14;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;15;Update;Time;1416400
Naiad-1-Thread;Q2;1;0;15;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;15;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;16;Update;Time;839200
Naiad-1-Thread;Q2;1;0;16;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;16;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;17;Update;Time;1032000
Naiad-1-Thread;Q2;1;0;17;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;17;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;18;Update;Time;1125000
Naiad-1-Thread;Q2;1;0;18;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;18;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;19;Update;Time;1304700
Naiad-1-Thread;Q2;1;0;19;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;19;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q2;1;0;20;Update;Time;726500
Naiad-1-Thread;Q2;1;0;20;Update;Memory;63918080
Naiad-1-Thread;Q2;1;0;20;Update;Elements;725662|406944|999992
Naiad-1-Thread;Q1;2;0;0;Initialization;Time;556831000
Naiad-1-Thread;Q1;2;0;0;Initialization;Memory;34197504
Naiad-1-Thread;Q1;2;0;0;Load;Time;56437800
Naiad-1-Thread;Q1;2;0;0;Load;Memory;37736448
Naiad-1-Thread;Q1;2;0;0;Initial;Time;737909800
Naiad-1-Thread;Q1;2;0;0;Initial;Memory;66830336
Naiad-1-Thread;Q1;2;0;0;Initial;Elements;167197|723178|404286
Naiad-1-Thread;Q1;2;0;1;Update;Time;12173500
Naiad-1-Thread;Q1;2;0;1;Update;Memory;70651904
Naiad-1-Thread;Q1;2;0;1;Update;Elements;167197|723178|404286
Naiad-1-Thread;Q1;2;0;2;Update;Time;1253700
Naiad-1-Thread;Q1;2;0;2;Update;Memory;70651904
Naiad-1-Thread;Q1;2;0;2;Update;Elements;167197|723178|404286
Naiad-1-Thread;Q1;2;0;3;Update;Time;12140900
Naiad-1-Thread;Q1;2;0;3;Update;Memory;70725632
Naiad-1-Thread;Q1;2;0;3;Update;Elements;167197|723178|404286
Naiad-1-Thread;Q1;2;0;4;Update;Time;2472400
Naiad-1-Thread;Q1;2;0;4;Update;Memory;70733824
Naiad-1-Thread;Q1;2;0;4;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;5;Update;Time;1543400
Naiad-1-Thread;Q1;2;0;5;Update;Memory;72855552
Naiad-1-Thread;Q1;2;0;5;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;6;Update;Time;14073700
Naiad-1-Thread;Q1;2;0;6;Update;Memory;72855552
Naiad-1-Thread;Q1;2;0;6;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;7;Update;Time;25211400
Naiad-1-Thread;Q1;2;0;7;Update;Memory;72855552
Naiad-1-Thread;Q1;2;0;7;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;8;Update;Time;779700
Naiad-1-Thread;Q1;2;0;8;Update;Memory;72855552
Naiad-1-Thread;Q1;2;0;8;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;9;Update;Time;589000
Naiad-1-Thread;Q1;2;0;9;Update;Memory;72855552
Naiad-1-Thread;Q1;2;0;9;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;10;Update;Time;3221800
Naiad-1-Thread;Q1;2;0;10;Update;Memory;74444800
Naiad-1-Thread;Q1;2;0;10;Update;Elements;404236|167197|723178
Naiad-1-Thread;Q1;2;0;11;Update;Time;1187000
Naiad-1-Thread;Q1;2;0;11;Update;Memory;74461184
Naiad-1-Thread;Q1;2;0;11;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;12;Update;Time;688600
Naiad-1-Thread;Q1;2;0;12;Update;Memory;74465280
Naiad-1-Thread;Q1;2;0;12;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;13;Update;Time;858800
Naiad-1-Thread;Q1;2;0;13;Update;Memory;74465280
Naiad-1-Thread;Q1;2;0;13;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;14;Update;Time;562900
Naiad-1-Thread;Q1;2;0;14;Update;Memory;74465280
Naiad-1-Thread;Q1;2;0;14;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;15;Update;Time;916300
Naiad-1-Thread;Q1;2;0;15;Update;Memory;74465280
Naiad-1-Thread;Q1;2;0;15;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;16;Update;Time;699500
Naiad-1-Thread;Q1;2;0;16;Update;Memory;74465280
Naiad-1-Thread;Q1;2;0;16;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;17;Update;Time;1675200
Naiad-1-Thread;Q1;2;0;17;Update;Memory;74469376
Naiad-1-Thread;Q1;2;0;17;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;18;Update;Time;1597000
Naiad-1-Thread;Q1;2;0;18;Update;Memory;74481664
Naiad-1-Thread;Q1;2;0;18;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;19;Update;Time;1367700
Naiad-1-Thread;Q1;2;0;19;Update;Memory;74481664
Naiad-1-Thread;Q1;2;0;19;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q1;2;0;20;Update;Time;595100
Naiad-1-Thread;Q1;2;0;20;Update;Memory;74481664
Naiad-1-Thread;Q1;2;0;20;Update;Elements;167197|404236|723178
Naiad-1-Thread;Q2;2;0;0;Initialization;Time;550196300
Naiad-1-Thread;Q2;2;0;0;Initialization;Memory;34267136
Naiad-1-Thread;Q2;2;0;0;Load;Time;57707200
Naiad-1-Thread;Q2;2;0;0;Load;Memory;37801984
Naiad-1-Thread;Q2;2;0;0;Initial;Time;935960900
Naiad-1-Thread;Q2;2;0;0;Initial;Memory;72990720
Naiad-1-Thread;Q2;2;0;0;Initial;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;1;Update;Time;5139000
Naiad-1-Thread;Q2;2;0;1;Update;Memory;73097216
Naiad-1-Thread;Q2;2;0;1;Update;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;2;Update;Time;845800
Naiad-1-Thread;Q2;2;0;2;Update;Memory;73101312
Naiad-1-Thread;Q2;2;0;2;Update;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;3;Update;Time;540600
Naiad-1-Thread;Q2;2;0;3;Update;Memory;73105408
Naiad-1-Thread;Q2;2;0;3;Update;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;4;Update;Time;2051900
Naiad-1-Thread;Q2;2;0;4;Update;Memory;73105408
Naiad-1-Thread;Q2;2;0;4;Update;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;5;Update;Time;6977300
Naiad-1-Thread;Q2;2;0;5;Update;Memory;76894208
Naiad-1-Thread;Q2;2;0;5;Update;Elements;406915|725662|406503
Naiad-1-Thread;Q2;2;0;6;Update;Time;518800
Naiad-1-Thread;Q2;2;0;6;Update;Memory;76894208
